epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,702.495,1.32861,2.07251,1.38036,0.50801,0.47029,0.47745,0.2944,1.29745,2.18499,1.36798,0.000541775,0.000541775,0.000541775
2,1403.01,1.23323,1.40509,1.33312,0.67694,0.43124,0.5162,0.30616,1.44079,2.16258,1.48511,0.00106123,0.00106123,0.00106123
3,2098.53,1.26133,1.34699,1.34629,0.67979,0.55008,0.62616,0.37238,1.4961,1.98829,1.68139,0.001544,0.001544,0.001544
4,2780.47,1.25849,1.26011,1.34157,0.73087,0.61784,0.69372,0.39537,1.50779,1.7331,1.6684,0.00150197,0.00150197,0.00150197
5,3466.24,1.18338,1.16181,1.29847,0.74476,0.66384,0.74491,0.4422,1.38906,1.61094,1.53963,0.00144696,0.00144696,0.00144696
6,4150.2,1.15937,1.13571,1.26761,0.80443,0.75424,0.82415,0.55003,1.29037,1.2497,1.42787,0.00139195,0.00139195,0.00139195
7,4829.26,1.15066,1.08081,1.26712,0.8774,0.79287,0.86617,0.59025,1.20858,1.1764,1.37769,0.00133693,0.00133693,0.00133693
8,5503.54,1.09939,1.04135,1.2596,0.83571,0.79796,0.86322,0.60752,1.14113,1.14766,1.33266,0.00128192,0.00128192,0.00128192
9,6172.57,1.11117,1.00918,1.25618,0.82884,0.81834,0.87205,0.6106,1.11085,1.10764,1.30289,0.00122691,0.00122691,0.00122691
10,6850.31,1.07434,0.93148,1.22732,0.84232,0.86162,0.89201,0.63082,1.11203,0.99522,1.30354,0.0011719,0.0011719,0.0011719
11,7525.08,1.05101,0.92433,1.211,0.86124,0.85354,0.89204,0.61486,1.12123,0.97429,1.3226,0.00111689,0.00111689,0.00111689
12,8200.85,1.02503,0.87052,1.1928,0.86612,0.78947,0.86237,0.59053,1.18588,1.15558,1.38317,0.00106188,0.00106188,0.00106188
13,8873.37,1.00553,0.87543,1.18074,0.84559,0.90153,0.91833,0.66426,1.0309,0.89068,1.22112,0.00100687,0.00100687,0.00100687
14,9546.86,1.02152,0.87173,1.19448,0.88618,0.87097,0.93167,0.67196,1.04698,0.83207,1.22097,0.000951857,0.000951857,0.000951857
15,10222.1,0.98557,0.81069,1.16324,0.87944,0.89172,0.92731,0.68258,0.99375,0.78722,1.17764,0.000896846,0.000896846,0.000896846
16,10891.6,0.96213,0.79623,1.16019,0.8973,0.87516,0.93121,0.68804,0.9943,0.78968,1.19143,0.000841835,0.000841835,0.000841835
17,11566.9,0.93067,0.77225,1.15557,0.89705,0.87946,0.92809,0.67693,1.00028,0.79819,1.19391,0.000786824,0.000786824,0.000786824
18,12238.5,0.94827,0.76253,1.1571,0.91856,0.89983,0.9427,0.70942,0.99574,0.71504,1.19012,0.000731813,0.000731813,0.000731813
19,12907.7,0.91037,0.71666,1.13102,0.91681,0.89474,0.94351,0.70984,0.98045,0.70661,1.18984,0.000676802,0.000676802,0.000676802
20,13574.8,0.87706,0.71985,1.12094,0.92256,0.88999,0.94467,0.71539,0.96399,0.71999,1.15673,0.000621791,0.000621791,0.000621791
21,14239.1,0.83964,0.64462,1.07949,0.9197,0.88795,0.94144,0.71131,0.96198,0.72764,1.14821,0.00056678,0.00056678,0.00056678
22,14898.7,0.83245,0.61842,1.07715,0.91425,0.89813,0.94538,0.7285,0.92282,0.66579,1.13106,0.000511769,0.000511769,0.000511769
23,15555.4,0.81049,0.60156,1.07474,0.90122,0.89845,0.94596,0.74029,0.90301,0.64196,1.11868,0.000456758,0.000456758,0.000456758
24,16214.4,0.79851,0.58105,1.06278,0.90684,0.90898,0.9385,0.73012,0.87654,0.65184,1.09519,0.000401747,0.000401747,0.000401747
25,16874.3,0.78118,0.55757,1.04617,0.91431,0.89474,0.94306,0.74261,0.86355,0.60919,1.07037,0.000346736,0.000346736,0.000346736
26,17532.4,0.77408,0.53957,1.04917,0.91241,0.90192,0.94172,0.73667,0.85951,0.5959,1.08698,0.000291725,0.000291725,0.000291725
27,18191.4,0.7483,0.51476,1.02381,0.90683,0.90882,0.95132,0.75007,0.83398,0.58448,1.06135,0.000236714,0.000236714,0.000236714
28,18852.8,0.73249,0.50484,1.02698,0.91068,0.91748,0.95211,0.76382,0.81726,0.55812,1.05198,0.000181703,0.000181703,0.000181703
29,19512.7,0.70666,0.48909,1.00321,0.90843,0.92639,0.95194,0.7604,0.82072,0.56854,1.05847,0.000126692,0.000126692,0.000126692
30,20173.7,0.70284,0.48243,1.0043,0.90824,0.92699,0.95098,0.76005,0.81947,0.56235,1.04991,7.1681e-05,7.1681e-05,7.1681e-05
